Scheme Name,Details,Benefits,Eligibility,Application Process,Documents Required
State Post-metric Scholarship For Disabled,"The ""State Post-metric Scholarship for Disabled"" is a scheme by the Department of Social Justice & Special Assistance, Govt. of Maharashtra. The objective of this scheme is to encourage students with disability (SwDs) to pursue higher education, i.e. H.S.C., Degree, Professional, Technical, Medical, Engineering, etc. Only citizens who are permanent residents of the state of Maharashtra are eligible to apply for this scheme. This scheme is 100% funded by the Govt. of Maharashtra.","Maintenance Allowance, Reader Allowance, Tuition Fees, Study Tour Expenditure, Project Typing Expenditure as per course and category.","The applicant should be a citizen of India. The applicant should be a domicile / permanent resident of the state of Maharashtra. The applicant should be a student admitted/enrolled in a school recognized by the Govt. of Maharashtra. The applicant should be a Person with Disability (Visually Handicapped, Low Vision, Hearing Impaired, Orthopedically Handicapped, etc). The percentage of the disability should be 40% or above. The applicant should have passed class 10th. The applicant should not have failed in the last qualifying examination. The applicant should be pursuing a post-metric qualification, i.e. Higher Secondary School (Class 11th, Class 12th), or a Technical/Professional Degree in Medical, Engineering, etc.","Offline. Step 1: Request a hard copy of the format of the application form for the scheme from the concerned authority at your school/college. Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across), and attach all the (self-attested) mandatory documents. Step 3: Submit the duly filled and signed application form along with the documents to the concerned authority at your school/college. Step 4: Acquire the receipt/acknowledgment of the successful submission of the application form from the concerned authority at your school/college.","Aadhaar Card. 2-Passport Sized Photograph (Signed Across). Residential Certificate / Domicile Certificate of the State of Maharashtra. Disability Certificate. Details of the Bank Account (Bank Name, Branch Name, Address, IFSC, etc). Proof of the Latest Educational Qualification (Passing Certificate or Marksheet). Proof of Passing Class 10th. Bonafide Certificate from the School/College. Proof of Pursuance of a Post-Matric Qualification (Fee Receipt, etc). Any other document required by the School/College or the District Social Welfare Office."
Educational Assistance to the Children Studying in 1st to 7th and 8th to 10th Class,"The Educational Assistance to the Children Studying in 1st to 7th and 8th to 10th Class scheme is implemented by the Maharashtra Building And Other Construction Workers Welfare Board (MBOCWW), Labour Department Maharashtra. Under this scheme, educational assistance of ₹2,500/- to the children studying in 1st to 7th standard and ₹5,000/- for the children studying in 8th to 10th standard of the registered construction workers. The scheme covers up to two children and the wife of a registered male worker.","Financial Assistance: 1st to 7th Class: ₹2,500/-, 8th to 10th Class: ₹5,000/-",The worker should be engaged in a building or other construction work. The worker should be registered under the Maharashtra Building & Other Construction Workers Welfare Board. The children or a registered male worker's wife should be enrolled in any grade from Class 1st to 10th. Only two children or a registered male worker's wife will be entitled to scholarships.,"Offline. Step-1: The interested applicant downloads the application form from the MBOCWW official website. Step-2: In the application form, fill in all the mandatory fields, and attach copies of all the mandatory documents (self-attest, if required). Step-3: Submit the duly filled and signed application form along with the documents to the Labor Commissioner / Government Labor Officer. Step-4: Request a receipt or acknowledgment from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable).",Passport-size Photo. Aadhaar Card. Identity Card of Maharashtra Building and Other Construction Workers Welfare Board. Bank Passbook. School Certificate of 75% Attendance. Proof of Residence (One of Aadhaar Card/Passport/Driving License/Ration Sheet/Last Month's Electricity Bill/Gram Panchayat Certificate).
Indira Gandhi National Widow Pension Scheme (Maharashtra),"The scheme ""Indira Gandhi National Widow Pension Scheme (Maharashtra)"" is a social welfare scheme implemented by the Social Justice & Special Assistance Department, Government of Maharashtra. Under this Centrally Sponsored Scheme, widows aged 40 to 79 years who are from a Below Poverty Line family are eligible to receive ₹1500/- per month as pension.",A pension of ₹1500 per month is given to each beneficiary (₹300 from central govt + ₹1200 from state).,The applicant should be a resident of Maharashtra. The applicant should be a widow. The age of the applicant should be between 40 and 79 years. The applicant should belong to a Below Poverty Line (BPL) family. The applicant should not be receiving pension benefits under any social security scheme.,"Offline. Step 1: The interested applicant should visit the Collector’s Office / Tehsildar’s Office, Sanjay Gandhi Niradhar Anudan Yojana Branch / Talathi Office of your district, and request a hard copy of the prescribed format of the application form from the concerned authority. Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required). Step 3: Submit the duly filled and signed application form along with the documents, within the prescribed period (if any), to the concerned authority. Step 4: Request a receipt or acknowledgement from the concerned authority to whom the application has been submitted.","Aadhaar Card. Passport-size Photograph. Identity Proof i.e. Voter ID Card, Driving License. Death Certificate of Husband. Residence Proof. Proof of Age. Below Poverty Line (BPL) Card/ Related Documents. Caste Certificate, if Applicable. Address Proof. Bank Passbook/ Bank Account Details. Any Other Documents as Required."
Indira Gandhi National Old Age Pension Scheme (Maharashtra),"The scheme ""Indira Gandhi National Old Age Pension"" is a social welfare scheme by the Social Justice & Special Assistance Department, Government of Maharashtra. In this scheme, ₹600 per month is provided to elderly individuals aged 65 years and above from BPL families.",A monthly financial assistance of ₹600/-,The applicant should be a resident of Maharashtra. The applicant should be 65 years of age or older. The applicant should be from a Below Poverty Line (BPL) family. The applicant should not be receiving pension benefits under any social security scheme.,"Offline. Step 1: The interested applicant should visit (during office hours) the Collector Office/Tahsildar/Talathi of your district, and request the hard copy of the prescribed format of the application form from the concerned authority. Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required). Step 3: Submit the duly filled and signed application form along with the documents, within the prescribed period (if any), to the concerned authority. Step 4: Request a receipt or acknowledgement from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable).","Aadhaar card of the applicant. Passport-size photograph. Identity proof i.e. Voter ID Card, Driving License. Residence Proof. Proof of age. Below Poverty Line (BPL) Card/related documents. Caste certificate, if applicable. Address proof. Bank Passbook/Bank account details. Any other documents as required."
Mahila Kisan Yojana (Maharashtra),"The scheme ""Mahila Kisan Yojana"" is implemented by the Department of Social Justice & Special Assistance, Government of Maharashtra, in collaboration with the National Scheduled Castes Finance and Development Corporation (NSFDC). The scheme aims to uplift the lifestyle of economically disadvantaged Charmakar communities (such as Dhor, Chambhar, Holar, and Mochi). The scheme promotes educational, economic, and social development to ensure a respectable place in society. Additionally, it supports the production and sale of various types of footwear and leather articles to government departments and the open market.","Total Loan Amount: ₹50,000; Subsidy Provided: ₹10,000; Loan Component: ₹40,000 with 5% interest per annum.","The applicant should be a permanent resident of Maharashtra. The applicant should be a female. The applicant should belong to the Charmakar Community. The applicant's age should be between 18 to 50 years. The applicant must have knowledge of the business for which they are applying for a loan. The applicant must have her own name, or joint name with her husband, or her husband’s name (with affidavit) on the 7/12 land extract for agricultural project loans. For the 50% Subsidy Scheme and Margin Money, her annual income must be below the poverty line. For the NSFDC Scheme, the income limit is ₹98,000 for rural areas and ₹1,20,000 for urban areas.","Offline. Step 1: Visit the District Office of Leather Industries Development Corporation of Maharashtra (LIDCOM) to request the application form. Step 2: Fill the form, attach passport-size photo and required documents. Step 3: Submit the filled application with documents to LIDCOM District Office. Step 4: Acquire receipt/acknowledgement with date, time, and unique ID.",Completed application form from LIDCOM District Office. Recent passport-size photograph. Valid Income Certificate. Caste Certificate (Charmakar Community). Proof of Residence (Maharashtra). 7/12 Land Extract. Knowledge or experience proof relevant to the proposed business/project.
Savitribai Phule Scholarship For V.J.N.T. And S.B.C. Girl Students Studying In 5th To 7th Standard,"Savitribai Phule Scholarship is a Scholarship Scheme by the Social Justice and Special Assistance Department, Government of Maharashtra. The scheme was introduced 12th January 1996 and amended on 29th October 1996 to include S.B.C. Students. The objective is to encourage enrollment and reduce dropout of girl students from Vimukta Jati and Nomadic Tribes (VJNT) and Special Backward Classes (SBC) studying in Class 5th to 7th. Beneficiary receives ₹60 per month, ₹600 for ten months.",₹60 per month; ₹600 for ten months,Applicant must be a girl. Applicant must be a resident of Maharashtra. Applicant must belong to Vimukta Jati and Nomadic Tribes (VJNT) or Special Backward Classes (SBC). Applicant must be studying in Class 5th to 7th in a Government Recognized School.,"Online. Step 1: Visit Aaple Sarkar / Maha DBT. Step 2: Register as a new applicant. Step 3: Login to MahaDBT, link Aadhaar with Bank. Step 4: Fill profile and upload documents. Step 5: Select Savitribai Phule Scholarship from 'All Schemes'. Step 6: Fill additional info, upload documents, submit and save Application ID. Track status via 'My Applied Scheme History'.",Aadhaar Number; Proof of Identity; Proof of Age (Birth Certificate); Proof of Address; Domicile Certificate of Maharashtra; Caste Certificate VJNT or SBC; Marksheet of Latest Educational Qualification; Fee Receipt of Current Course Year; Bank Account Details; Passport-sized Photograph
Financial Assistance To Disabled For Self Employment,"The 'Financial Assistance to Disabled for Self Employment' is a scheme by the Department of Social Justice & Special Assistance, Government of Maharashtra. The objective is to facilitate self-employment of unemployed disabled persons by providing financial support for self-employment, small-scale business, and agro-based projects. The scheme is 100% funded by the Government of Maharashtra.","Financial Assistance up to ₹1,50,000/- is provided. 80% loan amount by Nationalized Bank and 20% subsidy (up to ₹30,000/-) by the Department of Social Justice & Special Assistance.","Applicant must be a citizen of India and a permanent resident of Maharashtra. Applicant must be a Person with Disability (Visually Handicapped, Low Vision, Hearing Impaired, Orthopedically Handicapped, etc.) with 40% or more disability. Age must be between 18–50 years. Annual income should be less than ₹1,00,000/-.","Offline. Step 1: Visit District Social Welfare Office and request the application form. Step 2: Fill all mandatory fields, attach documents and photographs. Step 3: Submit to Assistant Commissioner, District Social Welfare Office. Step 4: Obtain receipt/acknowledgment for submission.","Aadhaar Card; Proof of Age (Birth Certificate, Marksheet, etc.); 2 Passport-sized Photographs (signed across); Residential/Domicile Certificate of Maharashtra; Disability Certificate; Income Certificate; Bank Account Details; Any other document required by the District Social Welfare Office."
Special Education And Vocational Training Through Government Institutions,"The 'Special Education and Vocational Training through Government Institutions' scheme by the Department of Social Justice & Special Assistance, Government of Maharashtra provides special education for children with disabilities (6–18 years) and vocational training for those above 18 years. It is 100% funded by the state government.","Free education for children with disabilities till 18 years; Vocational training for special children above 18 years; Free facilities of food, shelter, clothing, and education.","Applicant must be an Indian citizen and a permanent resident of Maharashtra. Must be a Person with Disability (Visually Impaired, Hearing Impaired, Orthopedically Handicapped, etc.) with 40% or more disability. For education: 6–18 years; for vocational training: above 18 years.","Offline. Step 1: Visit District Social Welfare Office and collect the application form. Step 2: Fill details, attach documents, and submit to Assistant Commissioner, District Social Welfare Office. Step 3: Obtain receipt of submission.",Proof of enrollment into Government Institution; Aadhaar Card; Proof of Age (Birth Certificate/Marksheet); 2 Passport-sized Photographs (signed across); Residential/Domicile Certificate of Maharashtra; Disability Certificate; Bank Account Details; Any other required document.
Financial Assistance For Aids And Appliances For Disabled Persons,"The 'Financial Assistance for Aids and Appliances for Disabled Persons' is a scheme by the Department of Social Justice & Special Assistance, Government of Maharashtra. It provides assistance to Persons with Disabilities (PwDs) for purchasing aids and appliances suitable to their age and type of disability. It is fully funded by the Government of Maharashtra.","Hearing Handicapped: Hearing Aids; Orthopedically Handicapped: Crutches, Tricycles, Calipers, Wheelchairs; Visually Handicapped: Tape Recorders and Blank Cassettes up to ₹3,000 for education.","Applicant must be an Indian citizen and a permanent resident of Maharashtra. Must be a Person with Disability (Visually Handicapped, Low Vision, Hearing Impaired, Orthopedically Handicapped, etc.) with 40% or more disability. For 100% cost aid: income < ₹1,500/month; for 50% cost aid: income between ₹1,500–₹2,000/month.","Offline. Step 1: Visit District Social Welfare Office and request the application form. Step 2: Fill details, attach documents, and submit to Assistant Commissioner, District Social Welfare Office. Step 3: Obtain receipt for submission.","Aadhaar Card; Proof of Age (Birth Certificate, Marksheet, etc.); 2 Passport-sized Photographs (signed across); Residential/Domicile Certificate of Maharashtra; Disability Certificate; Bank Account Details; Any other document required by the District Social Welfare Office."
Maintenance Allowance To VJNT And SBC Students Studying In Professional Courses And Living In Hostel Attached To Professional Colleges,"The Government of Maharashtra introduced this scheme to support VJNT and SBC students pursuing professional courses (Medical, Engineering, Animal Husbandry, etc.) by providing maintenance allowance through their respective colleges.","For 4 to 5 year courses (Medical, Engineering, Agriculture, etc.): ₹700/month; For 2–3 year courses (Engineering Diploma, MBA, MSW, etc.): ₹500/month; For 2-year or shorter courses (B.Ed., D.Ed.): ₹500/month for 10 months.","Applicant must belong to VJNT or SBC category. Must be studying in a professional course such as Medical, Engineering, Animal Husbandry, etc. Must have applied for admission in a Government or approved private hostel.","Online. Step 1: Register as new applicant on MahaDBT website. Step 2: Login, fill personal details, and create profile. Step 3: Apply for eligible scheme and upload documents. Applications are forwarded by colleges to Assistant Commissioner, Social Welfare.",Aadhaar Number; Domicile Certificate; Caste Certificate (VJNT/SBC); Family Income Certificate; Latest Marksheet; Bank Account Details; Passport-sized Photograph.
Indira Gandhi National Disability Pension Scheme (Maharashtra),The 'Indira Gandhi National Disability Pension Scheme (Maharashtra)' by the Social Justice & Special Assistance Department provides monthly pensions to differently-abled individuals aged 18–65 years with 80% or higher disability.,₹600 monthly pension to eligible differently-abled individuals.,"Applicant must be a resident of Maharashtra, aged between 18 and 65 years, with 80% or more disability. Must not receive any other social security pension.","Offline. Step 1: Visit the Collector Office/Tahsildar/Talathi during office hours to collect the form. Step 2: Fill details, attach documents, and submit within prescribed period. Step 3: Obtain acknowledgment with submission details.",Aadhaar Card; Passport-size Photograph; Identity Proof (Voter ID/Driving License); Disability Certificate; Proof of Age; Caste Certificate (if applicable); Address Proof; Bank Passbook/Account Details; Any other required documents.
Yashwantrao Chavan Mukta Vasahat Yojana for VJNTs,"The 'Yashwantrao Chavan Mukta Vasahat Yojana for VJNTs' is launched by the Department of Social Justice & Special Assistance, Government of Maharashtra. It aims to enhance the quality of life of Vimukta Jati and Nomadic Tribe (VJNT) families by developing sustainable income sources and promoting economic stability. Each family receives a 5-guntha plot (approx. 500 sq.m or 5,382 sq.ft) including a 269 sq.ft home as part of the assistance.","Each family receives a 5-guntha plot with a 269 sq.ft home; cluster of 20 families per project; includes essential amenities like roads, drainage, water, electricity, and a community hall; benefit extended to 3 villages per year in 34 districts (excluding Mumbai & B. Mumbai); land given jointly to husband and wife (or solely to widows/divorcees); land is non-transferable and cannot be rented or sold.","Applicant family must reside in Maharashtra; belong to VJNT (Vimukta Jati & Nomadic Tribes); must not own a house; must be landless and living in tent/hut; must reside at one place for 6 months and migrate for livelihood for the rest; annual income below ₹1,00,000; must not have availed benefits of other housing schemes (e.g., Gharkul); only one family member eligible; priority to widows, divorcees, handicapped, flood-affected, and families living in tents.","Offline: Visit Office of the Assistant Commissioner of Social Welfare of the concerned district; collect prescribed application form; fill details, attach documents, and submit to the office staff.","Identity proof (Aadhaar, Voter ID, etc.); passport-size photograph; VJNT category certificate; domicile/address proof; bank account details; income certificate issued by government officer; declaration of landlessness."
Savitribai Phule Scholarship For V.J.N.T. And S.B.C. Girl Students Studying In 5th To 7th Standard,"Savitribai Phule Scholarship is a Scholarship Scheme by the Social Justice and Special Assistance Department, Government of Maharashtra. The scheme was introduced on 12th January 1996 and amended on 29th October 1996 to include S.B.C. students. The objective of the scheme is to encourage enrollment and reduce dropout ratio of girl students of Maharashtra from Vimukta Jati and Nomadic Tribes (VJNT) and Special Backward Classes (SBC), studying in Class 5th to 7th.","The beneficiary is provided ₹60 per month, i.e. ₹600 for ten months.",Applicant must be a girl; must be a resident of Maharashtra; must belong to VJNT or SBC category; must be studying in Class 5th to 7th; must be enrolled in a government-recognized school.,"Online: Visit Aaple Sarkar/MahaDBT website → Register as a new applicant → Verify mobile & email → Login to MahaDBT portal → Complete Aadhaar-bank link and profile → Select 'Savitribai Phule Scholarship' under 'All Schemes' → Fill in required information, upload documents, and submit → Save Application ID for reference.",Aadhaar Number; Proof of Identity; Proof of Age (Birth Certificate); Proof of Address; Maharashtra Domicile Certificate; Caste Certificate (VJNT/SBC signed by Tehsildar or above); Latest Educational Qualification Marksheet; Current Year Fee Receipt; Bank Account Details; Passport-size Photograph.
Financial Assistance To Disabled For Self Employment,"The 'Financial Assistance to Disabled for Self Employment' is a scheme by the Department of Social Justice & Special Assistance, Government of Maharashtra. The objective of this scheme is to facilitate the self-employment of unemployed disabled persons. Under this scheme, financial assistance is provided to persons with disabilities for self-employment, small-scale business, and agro-based projects. Only citizens who are permanent residents of the state of Maharashtra are eligible to apply for this scheme. This scheme is 100% funded by the Government of Maharashtra.","Financial assistance up to ₹1,50,000/- is provided. 80% of the loan amount is provided by the Nationalized Bank. 20% subsidy of up to ₹30,000/- is provided by the Department of Social Justice & Special Assistance.","Applicant must be an Indian citizen; must be a permanent resident of Maharashtra; must be a Person with Disability (Visually Handicapped, Low Vision, Hearing Impaired, Orthopedically Handicapped, etc.); disability percentage must be 40% or above; must be aged between 18–50 years; annual income must be below ₹1,00,000/-.","Offline: Visit the District Social Welfare Office → Request application form → Fill and sign with photograph → Attach self-attested mandatory documents → Submit to the Assistant Commissioner, District Social Welfare Office → Collect acknowledgement receipt upon submission.","Aadhaar Card; Proof of Age (Birth Certificate, Class 10th/12th Marksheet, etc.); Two passport-sized photographs (signed across); Residential/Domicile Certificate of Maharashtra; Disability Certificate; Income Certificate; Bank Account Details (Bank Name, Branch, Address, IFSC, etc.); Any other document required by the District Social Welfare Office."
Special Education And Vocational Training Through Government Institutions,"The 'Special Education and Vocational Training through Government Institutions' is a scheme by the Department of Social Justice & Special Assistance, Government of Maharashtra. Under this scheme, special education is provided to children with disabilities aged 6 to 18 years in Government Special Schools, and vocational training is provided to special children above 18 years of age. Only citizens who are permanent residents of Maharashtra are eligible. This scheme is 100% funded by the Government of Maharashtra.","Free special education is provided up to the age of 18 years; special children above 18 years receive vocational training; free facilities of food, shelter, clothing, and education are provided in these institutions.","Applicant must be an Indian citizen; permanent resident of Maharashtra; Person with Disability (Visually Impaired, Hearing Impaired, Orthopedically Handicapped, etc.); disability percentage 40% or above; age 6–18 years for Special Education; 18 years and above for Vocational Training.","Offline: Visit District Social Welfare Office → Request application form → Fill and attach required documents → Submit to Assistant Commissioner, District Social Welfare Office → Collect acknowledgment of submission.","Proof of Enrollment into Government Institution; Aadhaar Card; Proof of Age (Birth Certificate, Class 10th/12th Marksheet, etc.); Two passport-sized photographs (signed across); Residential/Domicile Certificate of Maharashtra; Disability Certificate; Bank Account Details (Bank Name, Branch, Address, IFSC, etc.); Any other document required by the District Social Welfare Office."
Ramai Awas (Gharkul) Scheme for SC & Nav-Buddha (Urban and Rural),"The scheme 'Ramai Awas (Gharkul) Scheme for SC & Nav-Buddha (Urban and Rural)' is a housing initiative by the Department of Social Justice & Special Assistance, Government of Maharashtra. It aims to raise the standard of living of individuals from the Scheduled Caste and Nav-Buddha communities residing in rural and urban areas of Maharashtra.","Rural Area: ₹1,00,000/- (Beneficiary's share: Nil); Municipal Area: ₹1,50,000/- (Beneficiary's share: 7.5%); Municipal Corporation: ₹2,00,000/- (Beneficiary's share: 10%).","1. Applicant must have lived in Maharashtra for at least 15 years. 2. Annual income limits: Rural – ₹1,00,000/-, Municipal Area – ₹1,50,000/-, Municipal Corporation – ₹2,00,000/-. 3. Only one person per family can receive the benefit. 4. Applicant must own land. 5. Applicant should not be receiving benefits from any other housing scheme. Priority is given to Below Poverty Line (BPL) applicants.","Online: Step 1 – Visit one of the following offices during working hours to collect the application form: Assistant Commissioner, Social Welfare Office; Project Director, District Rural Development Agency; District Council / Municipal Commissioner. Step 2 – Fill in all required fields, attach passport photo and self-attested copies of mandatory documents. Step 3 – Submit the filled form with documents to the concerned authority within the prescribed period. Step 4 – Collect receipt or acknowledgment with date, time, and submission ID.",Residential/Domicile Certificate; Caste Certificate; Aadhaar Card; Address Proof; Identity Card; Passport-size Photograph.
Karma Veer Dadasaheb Gaikwad Sabalikaran & Swabhiman Yojana,"A financial assistance scheme by the Department of Social Justice & Special Assistance, Govt. of Maharashtra to improve the economic condition of landless Scheduled Castes and Nav-Buddhists from Below Poverty Line families. The scheme is 100% state funded.",Beneficiary receives 2-acre irrigated land or 4-acre non-irrigated land with 50% subsidy and 50% loan.,"Applicant must be an Indian citizen, permanent resident of Maharashtra, aged between 18–60 years, from Scheduled Caste or Nav-Buddhist community, landless, and from a BPL family.","Offline: Step 1 – Visit District Social Welfare Office to get application form. Step 2 – Fill form, paste signed photo, attach self-attested documents. Step 3 – Submit to Assistant Commissioner, District Social Welfare Office. Step 4 – Collect receipt/acknowledgment of submission.",BPL Card; Aadhaar Card; Proof of Age (Birth Certificate/Marksheet); 2 Passport Photos (Signed); Residential/Domicile Certificate; Caste Certificate/Neo-Buddhist Certificate; Bank Account Details; Any other document as required.
Scholarships For Higher Education Abroad To Meritorious Boys And Girls From Open Category,"A scheme by the Department of Higher and Technical Education, Government of Maharashtra (launched 4th October 2018) providing scholarships to meritorious open-category students pursuing PG, Diploma, or PhD studies abroad in top-ranked universities.","Government pays full tuition fees, full health insurance, living allowance (GBP 9900 for UK / USD 15400 for others), and one-time airfare.","Applicant and parent/guardian must be Indian citizens and Maharashtra residents. Must belong to open category, have an unconditional offer from a QS/THE top 200 ranked university, and family income below ₹8,00,000 per annum.",Online: Step 1 – Apply annually at www.dtemaharashtra.gov.in. Step 2 – Register on the portal. Step 3 – Submit application with eligibility proof before the deadline. Step 4 – Directorate of Training verifies and prepares eligible list.,Identity Proof; Domicile Certificate; Income Certificate; Unconditional Offer Letter; Educational Certificates; Passport; No Objection Certificate (if employed).
LIDCOM Training Scheme,"Implemented by Leather Industries Development Corporation (LIDCOM), Govt. of Maharashtra, for Scheduled Caste Charmakar Community students to gain skills for employment or entrepreneurship.","Provides free training programs including Footwear Designing (FDDI, UP), UPSC/MPSC preparation, and Smartness Quotient Booster Training.","Applicant must be an Indian citizen, student, Maharashtra resident, aged 18–50, from Charmakar community (Dhor, Chambhar, Holar, Mochi, etc.), with annual family income ≤ ₹1,00,000.","Offline: Step 1 – Obtain form from District LIDCOM Office. Step 2 – Fill, attach self-attested documents and photo. Step 3 – Submit to District Office. Step 4 – Collect receipt of submission.",Aadhaar Card; Proof of Age; 2 Passport Photos; Domicile Certificate; Bonafide Certificate; Income Certificate (Govt. issued); Caste Certificate; Bank Details; Any other document required by LIDCOM.
Shravanbal Seva State Pension Scheme,"A pension scheme by the Department of Social Justice & Special Assistance, Govt. of Maharashtra, providing ₹600/month to destitute elderly citizens aged 65+ who are permanent residents of Maharashtra.","₹600 per month (₹200 from Indira Gandhi Old Age Pension + ₹400 from Shravanbal Pension) for BPL families; ₹600 per month (entirely state-funded) for non-BPL families with income ≤ ₹21,000.","Applicant must be an Indian citizen, 65+ years, Maharashtra resident for at least 15 years, and either in BPL list or with annual income ≤ ₹21,000.","Online/Offline: Register on Aaple Sarkar MahaDBT portal → Verify via OTP → Upload photo, ID, address proof → Apply for the scheme → Receive Application ID and status updates.",Aadhaar Card; 2 Passport Photos; Proof of Age; Income Certificate or BPL Card; Domicile Certificate; Bank Account Details; Any other required documents.
LIDCOM Margin Money Loan Scheme,"A financial support scheme by Leather Industries Development Corporation (LIDCOM), Govt. of Maharashtra, for Scheduled Caste Charmakar community to promote entrepreneurship.","For loans ₹50,001–₹5,00,000: 20% project cost as Seed Capital @4% interest, ₹10,000 subsidy, 5% beneficiary contribution, and 75% bank loan repayable in 36–60 months.","Applicant must be an Indian citizen, Maharashtra resident, aged 18–50, from Charmakar community, with family income ≤ ₹1,00,000, and business knowledge.","Offline: Step 1 – Collect form from District LIDCOM Office. Step 2 – Fill form, attach documents. Step 3 – Submit to District Office. Step 4 – Collect receipt after submission.",Aadhaar Card; Proof of Age; 2 Passport Photos; Domicile Certificate; Loan-related proofs; Income Certificate; Caste Certificate; Bank Account Details; Any other document required by LIDCOM.
Award Of Stipend To VJNT And SBC Students Studying In ITI,A scheme by Government of Maharashtra to encourage VJNT & SBC students pursuing technical education in ITIs by providing a monthly stipend.,Maintenance allowance of Rs. 40–100 per month for 10 months.,"Students must belong to VJNT or SBC category, be trainees of approved ITI, and have parent/guardian annual income up to ₹65,290. Selection done by ITI Principal.","Offline: Submit application to concerned ITI, which forwards it to Asstt. Commissioner, Social Welfare for approval.",Caste Certificate; Domicile Certificate; Residence Proof; Aadhaar Card; Bank Details; School Marksheet; Passport-sized Photograph.
Grant In Aid To Old Age Home,"A scheme by the Department of Social Justice & Special Assistance, Maharashtra providing grants to NGOs for accommodating elderly, destitute, and disabled persons in Old Age Homes with food, lodging, boarding, and medical assistance.","Grants provided to NGOs for facilities including free lodging, boarding, food, accommodation, and medical assistance for eligible elderly.","Applicant must be a registered NGO, accommodating only old/destitute/disabled persons. Minimum age for men: 60+, for women: 55+. Old persons must be Indian citizens and Maharashtra residents.","Offline: Visit District Social Welfare Office, get form, fill with mandatory details, attach self-attested documents, submit to Assistant Commissioner, and collect acknowledgment.",Aadhaar Card; 2 Passport Photos; Residential/Domicile Certificate; Bank Account Details; Proof of Age; Any other document required by District Social Welfare Office.
Opening And Maintenance Of Public School (Vidya Niketan) For Vimukta Jatis And Nomadic Tribes,A Maharashtra government scheme providing grants to voluntary organizations to run public schools (Vidya Niketan) for VJNT students from 5th to 12th standard on merit basis.,"Financial assistance for building rent, 100% salary grant for staff, free books, notebooks, uniforms, stationery, lodging & boarding; Rs.1450/month per residential student.","Beneficiary must be a student, Maharashtra resident, belong to VJNT community, parent income ≤ Rs.24,000/year, and clear competitive exam for merit admission.","Online: Register on Aaple Sarkar/Maha DBT portal, verify OTP, upload documents, fill profile, apply under scheme, save Application ID, track status online.",Aadhaar Number; Proof of Identity; Proof of Age; Proof of Address; Domicile Certificate; Caste Certificate; Latest Educational Marksheet; Fee Receipt; Bank Account Details; Passport-sized Photograph.
Namo Shetkari Mahasanman Nidhi Yojana,A scheme providing Rs. 6000/year in three installments to PM Kisan eligible farmers families via DBT.,"Rs.2000 per installment, totaling Rs.12,000/year from PM Kisan & NSMNY combined, credited to Aadhaar-linked bank accounts.","Cultivable landholding farmers (husband, wife, minor children) eligible under PM Kisan as of 01.02.2019. Excludes institutional landholders, high-income categories, retired officers with pension ≥ Rs.10,000, income taxpayers, professionals, and NRIs.","Online: Self-registration on PM KISAN portal, eligibility verification, approvals at Taluka/District/State Nodal Officer level (TNO direct registration bypasses approvals).",Aadhaar Card; 7/12; 8-A; Ferfar; Ration Card; Any other documents as required.
Financial Assistance for Natural Death,"A scheme by Maharashtra Building And Other Construction Workers Welfare Board providing Rs.2,00,000 to legal heirs of registered workers who die naturally.","Financial assistance of ₹2,00,000 to legal heirs.","Applicant must be legal heir of deceased registered construction worker, death must be natural.","Offline: Download application from MBOCWW website, fill mandatory fields, attach documents, submit to Labor Commissioner/Government Labor Officer, acquire receipt.",Passport-size Photo; Aadhaar Card; Identity Card of MBOCWW; Bank Passbook; Death Certificate; Proof of Residence (Aadhaar/Passport/Driving Licence/Ration Sheet/Electricity Bill/Gram Panchayat Certificate).
Term Loan Scheme,"A Maharashtra government scheme (funded by NSFDC) to uplift economically disadvantaged members of the Charmakar community, supporting educational, economic, social advancement and production of footwear/leather goods.","Term loans ₹1,00,000–₹2,50,000; NSFDC finances 75% of project cost, 20% as seed loan, ₹10,000 subsidy; 5% beneficiary contribution; Interest: 7–8% per annum; Repayment up to 60 months.","Applicant must be Maharashtra resident, belong to Charmakar community, aged 18–50; BPL income criteria; must provide income & caste certificates; knowledge of business required; Income limits for NSFDC: rural < ₹98,000, urban < ₹1,20,000.","Offline: Obtain hard copy of application from LIDCOM district office, fill mandatory fields, attach documents, submit to authority, get receipt.",Aadhaar Card; Caste Certificate; Annual Income Certificate; Ration Card; Passport-size Photos of applicant and spouse; Bank Passbook; Detailed Project Report; Loan Documents.
